"STATISTIC","Statistic Label","TLIST(A1)","Graduation Year","C04477V05260","Field of Study","C03919V04671","Gender","C04300V05079","HSE Health Regions","UNIT","VALUE"
"HGO22C01","Number of Health Graduates","2010","2010","30","Nursing and Midwifery","10","Male","-","All HSE Regions","Number","54"
"HGO22C01","Number of Health Graduates","2010","2010","30","Nursing and Midwifery","10","Male","20","HSE Dublin and Midlands","Number","9"
"HGO22C01","Number of Health Graduates","2010","2010","30","Nursing and Midwifery","10","Male","10","HSE Dublin and North East","Number","12"
"HGO22C01","Number of Health Graduates","2010","2010","30","Nursing and Midwifery","10","Male","30","HSE Dublin and South East","Number","9"
"HGO22C01","Number of Health Graduates","2010","2010","30","Nursing and Midwifery","10","Male","50","HSE Midwest","Number","3"
"HGO22C01","Number of Health Graduates","2010","2010","30","Nursing and Midwifery","10","Male","60","HSE West and North West","Number","9"
"HGO22C01","Number of Health Graduates","2010","2010","30","Nursing and Midwifery","10","Male","40","HSE South West","Number","9"
"HGO22C01","Number of Health Graduates","2010","2010","30","Nursing and Midwifery","20","Female","-","All HSE Regions","Number","786"
"HGO22C01","Number of Health Graduates","2010","2010","30","Nursing and Midwifery","20","Female","20","HSE Dublin and Midlands","Number","153"
"HGO22C01","Number of Health Graduates","2010","2010","30","Nursing and Midwifery","20","Female","10","HSE Dublin and North East","Number","150"
"HGO22C01","Number of Health Graduates","2010","2010","30","Nursing and Midwifery","20","Female","30","HSE Dublin and South East","Number","120"
"HGO22C01","Number of Health Graduates","2010","2010","30","Nursing and Midwifery","20","Female","50","HSE Midwest","Number","78"
"HGO22C01","Number of Health Graduates","2010","2010","30","Nursing and Midwifery","20","Female","60","HSE West and North West","Number","153"
"HGO22C01","Number of Health Graduates","2010","2010","30","Nursing and Midwifery","20","Female","40","HSE South West","Number","132"
"HGO22C01","Number of Health Graduates","2010","2010","30","Nursing and Midwifery","-","All genders","-","All HSE Regions","Number","840"
"HGO22C01","Number of Health Graduates","2010","2010","30","Nursing and Midwifery","-","All genders","20","HSE Dublin and Midlands","Number","162"
"HGO22C01","Number of Health Graduates","2010","2010","30","Nursing and Midwifery","-","All genders","10","HSE Dublin and North East","Number","162"
"HGO22C01","Number of Health Graduates","2010","2010","30","Nursing and Midwifery","-","All genders","30","HSE Dublin and South East","Number","129"
"HGO22C01","Number of Health Graduates","2010","2010","30","Nursing and Midwifery","-","All genders","50","HSE Midwest","Number","81"
"HGO22C01","Number of Health Graduates","2010","2010","30","Nursing and Midwifery","-","All genders","60","HSE West and North West","Number","162"
"HGO22C01","Number of Health Graduates","2010","2010","30","Nursing and Midwifery","-","All genders","40","HSE South West","Number","144"
"HGO22C01","Number of Health Graduates","2010","2010","202","Medicine","10","Male","-","All HSE Regions","Number","51"
"HGO22C01","Number of Health Graduates","2010","2010","202","Medicine","10","Male","20","HSE Dublin and Midlands","Number","6"
"HGO22C01","Number of Health Graduates","2010","2010","202","Medicine","10","Male","10","HSE Dublin and North East","Number","12"
"HGO22C01","Number of Health Graduates","2010","2010","202","Medicine","10","Male","30","HSE Dublin and South East","Number","18"
"HGO22C01","Number of Health Graduates","2010","2010","202","Medicine","10","Male","50","HSE Midwest","Number","3"
"HGO22C01","Number of Health Graduates","2010","2010","202","Medicine","10","Male","60","HSE West and North West","Number","6"
"HGO22C01","Number of Health Graduates","2010","2010","202","Medicine","10","Male","40","HSE South West","Number","6"
"HGO22C01","Number of Health Graduates","2010","2010","202","Medicine","20","Female","-","All HSE Regions","Number","96"
"HGO22C01","Number of Health Graduates","2010","2010","202","Medicine","20","Female","20","HSE Dublin and Midlands","Number","18"
"HGO22C01","Number of Health Graduates","2010","2010","202","Medicine","20","Female","10","HSE Dublin and North East","Number","27"
"HGO22C01","Number of Health Graduates","2010","2010","202","Medicine","20","Female","30","HSE Dublin and South East","Number","21"
"HGO22C01","Number of Health Graduates","2010","2010","202","Medicine","20","Female","50","HSE Midwest","Number","3"
"HGO22C01","Number of Health Graduates","2010","2010","202","Medicine","20","Female","60","HSE West and North West","Number","9"
"HGO22C01","Number of Health Graduates","2010","2010","202","Medicine","20","Female","40","HSE South West","Number","15"
"HGO22C01","Number of Health Graduates","2010","2010","202","Medicine","-","All genders","-","All HSE Regions","Number","147"
"HGO22C01","Number of Health Graduates","2010","2010","202","Medicine","-","All genders","20","HSE Dublin and Midlands","Number","24"
"HGO22C01","Number of Health Graduates","2010","2010","202","Medicine","-","All genders","10","HSE Dublin and North East","Number","39"
"HGO22C01","Number of Health Graduates","2010","2010","202","Medicine","-","All genders","30","HSE Dublin and South East","Number","42"
"HGO22C01","Number of Health Graduates","2010","2010","202","Medicine","-","All genders","50","HSE Midwest","Number","6"
"HGO22C01","Number of Health Graduates","2010","2010","202","Medicine","-","All genders","60","HSE West and North West","Number","15"
"HGO22C01","Number of Health Graduates","2010","2010","202","Medicine","-","All genders","40","HSE South West","Number","21"
"HGO22C01","Number of Health Graduates","2010","2010","702","Social Care","10","Male","-","All HSE Regions","Number","48"
"HGO22C01","Number of Health Graduates","2010","2010","702","Social Care","10","Male","20","HSE Dublin and Midlands","Number","9"
"HGO22C01","Number of Health Graduates","2010","2010","702","Social Care","10","Male","10","HSE Dublin and North East","Number","15"
"HGO22C01","Number of Health Graduates","2010","2010","702","Social Care","10","Male","30","HSE Dublin and South East","Number","12"
"HGO22C01","Number of Health Graduates","2010","2010","702","Social Care","10","Male","50","HSE Midwest","Number","3"
"HGO22C01","Number of Health Graduates","2010","2010","702","Social Care","10","Male","60","HSE West and North West","Number","6"
"HGO22C01","Number of Health Graduates","2010","2010","702","Social Care","10","Male","40","HSE South West","Number","6"
"HGO22C01","Number of Health Graduates","2010","2010","702","Social Care","20","Female","-","All HSE Regions","Number","438"
"HGO22C01","Number of Health Graduates","2010","2010","702","Social Care","20","Female","20","HSE Dublin and Midlands","Number","66"
"HGO22C01","Number of Health Graduates","2010","2010","702","Social Care","20","Female","10","HSE Dublin and North East","Number","84"
"HGO22C01","Number of Health Graduates","2010","2010","702","Social Care","20","Female","30","HSE Dublin and South East","Number","102"
"HGO22C01","Number of Health Graduates","2010","2010","702","Social Care","20","Female","50","HSE Midwest","Number","39"
"HGO22C01","Number of Health Graduates","2010","2010","702","Social Care","20","Female","60","HSE West and North West","Number","78"
"HGO22C01","Number of Health Graduates","2010","2010","702","Social Care","20","Female","40","HSE South West","Number","72"
"HGO22C01","Number of Health Graduates","2010","2010","702","Social Care","-","All genders","-","All HSE Regions","Number","486"
"HGO22C01","Number of Health Graduates","2010","2010","702","Social Care","-","All genders","20","HSE Dublin and Midlands","Number","75"
"HGO22C01","Number of Health Graduates","2010","2010","702","Social Care","-","All genders","10","HSE Dublin and North East","Number","99"
"HGO22C01","Number of Health Graduates","2010","2010","702","Social Care","-","All genders","30","HSE Dublin and South East","Number","114"
"HGO22C01","Number of Health Graduates","2010","2010","702","Social Care","-","All genders","50","HSE Midwest","Number","39"
"HGO22C01","Number of Health Graduates","2010","2010","702","Social Care","-","All genders","60","HSE West and North West","Number","84"
"HGO22C01","Number of Health Graduates","2010","2010","702","Social Care","-","All genders","40","HSE South West","Number","75"
"HGO22C01","Number of Health Graduates","2011","2011","30","Nursing and Midwifery","10","Male","-","All HSE Regions","Number","54"
"HGO22C01","Number of Health Graduates","2011","2011","30","Nursing and Midwifery","10","Male","20","HSE Dublin and Midlands","Number","9"
"HGO22C01","Number of Health Graduates","2011","2011","30","Nursing and Midwifery","10","Male","10","HSE Dublin and North East","Number","15"
"HGO22C01","Number of Health Graduates","2011","2011","30","Nursing and Midwifery","10","Male","30","HSE Dublin and South East","Number","9"
"HGO22C01","Number of Health Graduates","2011","2011","30","Nursing and Midwifery","10","Male","50","HSE Midwest","Number","6"
"HGO22C01","Number of Health Graduates","2011","2011","30","Nursing and Midwifery","10","Male","60","HSE West and North West","Number","6"
"HGO22C01","Number of Health Graduates","2011","2011","30","Nursing and Midwifery","10","Male","40","HSE South West","Number","9"
"HGO22C01","Number of Health Graduates","2011","2011","30","Nursing and Midwifery","20","Female","-","All HSE Regions","Number","972"
"HGO22C01","Number of Health Graduates","2011","2011","30","Nursing and Midwifery","20","Female","20","HSE Dublin and Midlands","Number","183"
"HGO22C01","Number of Health Graduates","2011","2011","30","Nursing and Midwifery","20","Female","10","HSE Dublin and North East","Number","231"
"HGO22C01","Number of Health Graduates","2011","2011","30","Nursing and Midwifery","20","Female","30","HSE Dublin and South East","Number","156"
"HGO22C01","Number of Health Graduates","2011","2011","30","Nursing and Midwifery","20","Female","50","HSE Midwest","Number","72"
"HGO22C01","Number of Health Graduates","2011","2011","30","Nursing and Midwifery","20","Female","60","HSE West and North West","Number","162"
"HGO22C01","Number of Health Graduates","2011","2011","30","Nursing and Midwifery","20","Female","40","HSE South West","Number","168"
"HGO22C01","Number of Health Graduates","2011","2011","30","Nursing and Midwifery","-","All genders","-","All HSE Regions","Number","1026"
