"STATISTIC","Statistic Label","TLIST(A1)","Graduation Year","C04477V05260","Field of Study","C03919V04671","Gender","C03433V04141","Years since Graduation","UNIT","VALUE"
"HGO20C01","Median Weekly Earnings of Health Graduates","2010","2010","30","Nursing and Midwifery","10","Male","01","1","Euro","768"
"HGO20C01","Median Weekly Earnings of Health Graduates","2010","2010","30","Nursing and Midwifery","10","Male","02","2","Euro","823"
"HGO20C01","Median Weekly Earnings of Health Graduates","2010","2010","30","Nursing and Midwifery","10","Male","03","3","Euro","828"
"HGO20C01","Median Weekly Earnings of Health Graduates","2010","2010","30","Nursing and Midwifery","10","Male","04","4","Euro","881"
"HGO20C01","Median Weekly Earnings of Health Graduates","2010","2010","30","Nursing and Midwifery","10","Male","05","5","Euro","911"
"HGO20C01","Median Weekly Earnings of Health Graduates","2010","2010","30","Nursing and Midwifery","10","Male","06","6","Euro","929"
"HGO20C01","Median Weekly Earnings of Health Graduates","2010","2010","30","Nursing and Midwifery","10","Male","07","7","Euro","998"
"HGO20C01","Median Weekly Earnings of Health Graduates","2010","2010","30","Nursing and Midwifery","10","Male","08","8","Euro","1043"
"HGO20C01","Median Weekly Earnings of Health Graduates","2010","2010","30","Nursing and Midwifery","10","Male","09","9","Euro","1064"
"HGO20C01","Median Weekly Earnings of Health Graduates","2010","2010","30","Nursing and Midwifery","10","Male","10","10","Euro","1162"
"HGO20C01","Median Weekly Earnings of Health Graduates","2010","2010","30","Nursing and Midwifery","10","Male","11","11","Euro","1201"
"HGO20C01","Median Weekly Earnings of Health Graduates","2010","2010","30","Nursing and Midwifery","10","Male","12","12","Euro","1321"
"HGO20C01","Median Weekly Earnings of Health Graduates","2010","2010","30","Nursing and Midwifery","10","Male","13","13","Euro","1404"
"HGO20C01","Median Weekly Earnings of Health Graduates","2010","2010","30","Nursing and Midwifery","20","Female","01","1","Euro","694"
"HGO20C01","Median Weekly Earnings of Health Graduates","2010","2010","30","Nursing and Midwifery","20","Female","02","2","Euro","717"
"HGO20C01","Median Weekly Earnings of Health Graduates","2010","2010","30","Nursing and Midwifery","20","Female","03","3","Euro","731"
"HGO20C01","Median Weekly Earnings of Health Graduates","2010","2010","30","Nursing and Midwifery","20","Female","04","4","Euro","761"
"HGO20C01","Median Weekly Earnings of Health Graduates","2010","2010","30","Nursing and Midwifery","20","Female","05","5","Euro","802"
"HGO20C01","Median Weekly Earnings of Health Graduates","2010","2010","30","Nursing and Midwifery","20","Female","06","6","Euro","821"
"HGO20C01","Median Weekly Earnings of Health Graduates","2010","2010","30","Nursing and Midwifery","20","Female","07","7","Euro","849"
"HGO20C01","Median Weekly Earnings of Health Graduates","2010","2010","30","Nursing and Midwifery","20","Female","08","8","Euro","874"
"HGO20C01","Median Weekly Earnings of Health Graduates","2010","2010","30","Nursing and Midwifery","20","Female","09","9","Euro","901"
