"STATISTIC","Statistic Label","TLIST(A1)","Graduation Year","C04477V05260","Field of Study","C03919V04671","Gender","C02843V04551","Occupations","UNIT","VALUE"
"HGO21C01","Number of Health Graduates","2010","2010","30","Nursing and Midwifery","10","Male","1","Managers, directors and senior officials","Number","3"
"HGO21C01","Number of Health Graduates","2010","2010","30","Nursing and Midwifery","10","Male","3","Associate professional and technical occupations","Number","3"
"HGO21C01","Number of Health Graduates","2010","2010","30","Nursing and Midwifery","10","Male","4","Administrative and secretarial occupations","Number",""
"HGO21C01","Number of Health Graduates","2010","2010","30","Nursing and Midwifery","10","Male","5","Skilled trades occupations","Number",""
"HGO21C01","Number of Health Graduates","2010","2010","30","Nursing and Midwifery","10","Male","6","Caring, leisure and other service occupations","Number","3"
"HGO21C01","Number of Health Graduates","2010","2010","30","Nursing and Midwifery","10","Male","7","Sales and customer service occupations","Number",""
"HGO21C01","Number of Health Graduates","2010","2010","30","Nursing and Midwifery","10","Male","8","Process, plant and machine operatives","Number",""
"HGO21C01","Number of Health Graduates","2010","2010","30","Nursing and Midwifery","10","Male","9","Elementary occupations","Number",""
"HGO21C01","Number of Health Graduates","2010","2010","30","Nursing and Midwifery","10","Male","21","Science, research, engineering and technology professionals","Number","0"
"HGO21C01","Number of Health Graduates","2010","2010","30","Nursing and Midwifery","10","Male","23","Teaching and educational professionals","Number",""
"HGO21C01","Number of Health Graduates","2010","2010","30","Nursing and Midwifery","10","Male","24","Business, media and public service professionals","Number",""
"HGO21C01","Number of Health Graduates","2010","2010","30","Nursing and Midwifery","10","Male","2211","Medical practitioners","Number","3"
"HGO21C01","Number of Health Graduates","2010","2010","30","Nursing and Midwifery","10","Male","2212","Psychologists","Number",""
"HGO21C01","Number of Health Graduates","2010","2010","30","Nursing and Midwifery","10","Male","2213","Pharmacists","Number",""
"HGO21C01","Number of Health Graduates","2010","2010","30","Nursing and Midwifery","10","Male","2214","Ophthalmic opticians","Number",""
"HGO21C01","Number of Health Graduates","2010","2010","30","Nursing and Midwifery","10","Male","2215","Dental practitioners","Number",""
"HGO21C01","Number of Health Graduates","2010","2010","30","Nursing and Midwifery","10","Male","2216","Veterinarians","Number",""
