"STATISTIC","Statistic Label","TLIST(A1)","Graduation Year","C04477V05260","Field of Study","C03919V04671","Gender","C03433V04141","Years since Graduation","C02511V03040","Private or Public Sector","UNIT","VALUE"
"HGO19C01","Number of Health Graduates","2010","2010","30","Nursing and Midwifery","10","Male","01","1","-","All sectors","Number","66"
"HGO19C01","Number of Health Graduates","2010","2010","30","Nursing and Midwifery","10","Male","01","1","01","Private sector","Number","18"
"HGO19C01","Number of Health Graduates","2010","2010","30","Nursing and Midwifery","10","Male","01","1","02","Public sector","Number","48"
"HGO19C01","Number of Health Graduates","2010","2010","30","Nursing and Midwifery","10","Male","02","2","-","All sectors","Number","63"
"HGO19C01","Number of Health Graduates","2010","2010","30","Nursing and Midwifery","10","Male","02","2","01","Private sector","Number","18"
"HGO19C01","Number of Health Graduates","2010","2010","30","Nursing and Midwifery","10","Male","02","2","02","Public sector","Number","45"
"HGO19C01","Number of Health Graduates","2010","2010","30","Nursing and Midwifery","10","Male","03","3","-","All sectors","Number","66"
"HGO19C01","Number of Health Graduates","2010","2010","30","Nursing and Midwifery","10","Male","03","3","01","Private sector","Number","15"
"HGO19C01","Number of Health Graduates","2010","2010","30","Nursing and Midwifery","10","Male","03","3","02","Public sector","Number","51"
"HGO19C01","Number of Health Graduates","2010","2010","30","Nursing and Midwifery","10","Male","04","4","-","All sectors","Number","63"
"HGO19C01","Number of Health Graduates","2010","2010","30","Nursing and Midwifery","10","Male","04","4","01","Private sector","Number","15"
"HGO19C01","Number of Health Graduates","2010","2010","30","Nursing and Midwifery","10","Male","04","4","02","Public sector","Number","51"
"HGO19C01","Number of Health Graduates","2010","2010","30","Nursing and Midwifery","10","Male","05","5","-","All sectors","Number","63"
"HGO19C01","Number of Health Graduates","2010","2010","30","Nursing and Midwifery","10","Male","05","5","01","Private sector","Number","9"
"HGO19C01","Number of Health Graduates","2010","2010","30","Nursing and Midwifery","10","Male","05","5","02","Public sector","Number","54"
"HGO19C01","Number of Health Graduates","2010","2010","30","Nursing and Midwifery","10","Male","06","6","-","All sectors","Number","63"
"HGO19C01","Number of Health Graduates","2010","2010","30","Nursing and Midwifery","10","Male","06","6","01","Private sector","Number","9"
"HGO19C01","Number of Health Graduates","2010","2010","30","Nursing and Midwifery","10","Male","06","6","02","Public sector","Number","54"
"HGO19C01","Number of Health Graduates","2010","2010","30","Nursing and Midwifery","10","Male","07","7","-","All sectors","Number","63"
"HGO19C01","Number of Health Graduates","2010","2010","30","Nursing and Midwifery","10","Male","07","7","01","Private sector","Number","9"
"HGO19C01","Number of Health Graduates","2010","2010","30","Nursing and Midwifery","10","Male","07","7","02","Public sector","Number","51"
"HGO19C01","Number of Health Graduates","2010","2010","30","Nursing and Midwifery","10","Male","08","8","-","All sectors","Number","63"
"HGO19C01","Number of Health Graduates","2010","2010","30","Nursing and Midwifery","10","Male","08","8","01","Private sector","Number","12"
"HGO19C01","Number of Health Graduates","2010","2010","30","Nursing and Midwifery","10","Male","08","8","02","Public sector","Number","54"
"HGO19C01","Number of Health Graduates","2010","2010","30","Nursing and Midwifery","10","Male","09","9","-","All sectors","Number","63"
"HGO19C01","Number of Health Graduates","2010","2010","30","Nursing and Midwifery","10","Male","09","9","01","Private sector","Number","9"
"HGO19C01","Number of Health Graduates","2010","2010","30","Nursing and Midwifery","10","Male","09","9","02","Public sector","Number","54"
"HGO19C01","Number of Health Graduates","2010","2010","30","Nursing and Midwifery","10","Male","10","10","-","All sectors","Number","60"
"HGO19C01","Number of Health Graduates","2010","2010","30","Nursing and Midwifery","10","Male","10","10","01","Private sector","Number","9"
"HGO19C01","Number of Health Graduates","2010","2010","30","Nursing and Midwifery","10","Male","10","10","02","Public sector","Number","51"
"HGO19C01","Number of Health Graduates","2010","2010","30","Nursing and Midwifery","10","Male","11","11","-","All sectors","Number","66"
"HGO19C01","Number of Health Graduates","2010","2010","30","Nursing and Midwifery","10","Male","11","11","01","Private sector","Number","9"
